Job.Latitude,Job.Longitude,Finance.LCOE,Job.PanTyp,Panel.EM,Panel.Irradiance,Panel.PVGen
50.262951,-5.0507,0.4353142879806654,4110,Error,,240554.04459050024
50.262951,-5.0507,0.1407883046935673,4880,Error,,401816.3939099473
10.0,20.0,0.2769668020244527,4110,1.0,539.2447938627314,1183.5741386360833
-17.0,28.0,0.2976224748970279,4110,1.0,506.0214990325418,1095.6001817849078
-29.0,29.0,0.3538376886841173,4110,1.0,434.4558238903783,936.8434382341228
19.0,29.0,0.2476716417666181,4110,1.0,587.9658515656536,1295.7870765874488
-7.0,30.0,0.3255884075895863,4110,1.0,474.6247592780127,1018.4637512490204
-14.0,30.0,0.3192802631265752,4110,1.0,471.8707886164521,1024.2217152446758
11.0,22.0,0.2704704791660952,4110,1.0,548.2914948393151,1214.1833253222455
26.0,21.0,0.2621621382047684,4110,1.0,574.208825762013,1242.932505148045
6.0,28.0,0.2937745252023133,4110,1.0,512.1593438172686,1136.4651149428882
-27.0,24.0,0.305423093541694,4110,1.0,492.6792764629694,1072.0735307879513
-7.0,28.0,0.3365567088942702,4110,1.0,456.3143134993758,983.1690680068524
-21.0,25.0,0.2857590812677171,4110,1.0,515.9280433549912,1148.835350568202
-17.0,25.0,0.3039218875522072,4110,1.0,493.25758874230434,1072.5914583182234
37.0,27.0,0.3326366035899544,4110,1.0,452.1247529133393,1001.473782528474
7.0,23.0,0.2962926879202753,4110,1.0,499.67307068123694,1105.7040070826763
53.0,29.0,0.5943287783974722,4110,1.0,318.8207085900905,641.7442187326045
56.0,28.0,0.7250859452725299,4110,1.0,297.8630644931324,609.32878232896
9.0,30.0,0.2933351972231038,4110,1.0,499.7949532306976,1111.2044717670294
30.0,24.0,0.2726077647910683,4110,1.0,552.3789240217583,1200.942524887661
-18,23,0.29910956056551297,4110,1.0,496.52400235988205,1097.2331822161975
